Date;Hour;Minute;Quarter;Temperature;Solar;Wind;Consumption
2025-11-29;1;0;0;10.23;0.0;650.0;4093.8
2025-11-29;1;15;1;10.14;0.0;571.0;4095.9
2025-11-29;1;30;2;10.06;0.0;530.4;4095.5
2025-11-29;1;45;3;9.99;0.0;493.5;4081.1
2025-11-29;2;0;0;9.92;0.0;482.2;4038.3
2025-11-29;2;15;1;9.85;0.0;456.5;4008.5
2025-11-29;2;30;2;9.79;0.0;451.2;3981.8
2025-11-29;2;45;3;9.7;0.0;459.0;3962.2
2025-11-29;3;0;0;9.62;0.0;456.9;3966.7
2025-11-29;3;15;1;9.55;0.0;456.0;3938.4
2025-11-29;3;30;2;9.5;0.0;452.6;3916.8
2025-11-29;3;45;3;9.48;0.0;479.4;3899.6
2025-11-29;4;0;0;9.48;0.0;508.3;3906.5
2025-11-29;4;15;1;9.49;0.0;513.4;3927.9
2025-11-29;4;30;2;9.5;0.0;506.3;3962.5
2025-11-29;4;45;3;9.39;0.0;502.0;4012.3
2025-11-29;5;0;0;9.27;0.0;516.2;4096.4
2025-11-29;5;15;1;9.11;0.0;540.2;4173.4
2025-11-29;5;30;2;8.95;0.0;556.2;4251.4
2025-11-29;5;45;3;8.85;0.0;581.0;4326.6
2025-11-29;6;0;0;8.76;0.0;587.7;4402.9
2025-11-29;6;15;1;8.7;19.8;551.4;4454.5
2025-11-29;6;30;2;8.69;152.6;539.7;4519.4
2025-11-29;6;45;3;8.73;303.6;535.5;4604.8
2025-11-29;7;0;0;8.87;691.6;516.0;4733.1
2025-11-29;7;15;1;9.1;990.6;492.1;4836.2
2025-11-29;7;30;2;9.39;1275.8;476.7;4945.9
2025-11-29;7;45;3;9.79;1588.4;453.0;5051.3
2025-11-29;8;0;0;10.16;1906.5;432.5;5146.9
2025-11-29;8;15;1;10.49;2186.8;412.5;5323.6
2025-11-29;8;30;2;10.78;2477.0;395.9;5488.3
2025-11-29;8;45;3;11.03;2742.5;381.7;5627.6
2025-11-29;9;0;0;11.26;3017.1;399.3;5699.6
2025-11-29;9;15;1;11.49;3280.2;442.5;5810.9
2025-11-29;9;30;2;11.72;3516.8;473.6;5909.0
2025-11-29;9;45;3;11.9;3654.2;508.9;6013.2
2025-11-29;10;0;0;12.09;3875.2;544.5;6105.4
2025-11-29;10;15;1;12.31;3896.7;542.9;6183.3
2025-11-29;10;30;2;12.53;3882.8;533.9;6256.9
2025-11-29;10;45;3;12.84;4000.9;548.8;6324.1
2025-11-29;11;0;0;13.12;3884.4;574.3;6385.0
2025-11-29;11;15;1;13.35;3928.0;583.1;6359.1
2025-11-29;11;30;2;13.57;3846.3;590.2;6333.5
2025-11-29;11;45;3;13.73;3824.1;610.1;6318.5
2025-11-29;12;0;0;13.89;3602.5;633.1;6280.7
2025-11-29;12;15;1;14.05;3619.7;634.7;6217.5
